file,sim_time,step,agent,doctor,pair_key,dynamic_enabled,dynamic_state,dynamic_state_severity_index,dynamic_interaction_count,dynamic_state_history_len,dynamic_overall_stress,dynamic_env_stress_level,dynamic_env_comfort_level,dynamic_env_trigger_potential,dynamic_trigger_count,dynamic_trigger_names,dynamic_active_biases_count,dynamic_activated_memory_count,dynamic_last_update_time,intervention_lock_enabled,intervention_lock_meeting_id,forced_tasks_total,forced_tasks_pending,forced_tasks_scheduled,forced_tasks_done,forced_tasks_other,forced_tasks_overdue_open,session_current_index,session_current_session,session_completed,session_last_detected_end,active_meetings_count,doctor_queue_size,consult_records_total,consult_pair_records_total,consult_write_audit_total,consult_write_success_total,consult_write_failed_total,consult_pair_mismatch_total,dynamic_trigger_accum__stress,dynamic_trigger_delta__stress,dynamic_trigger_accum__support,dynamic_trigger_delta__support,dynamic_trigger_accum__学业失败,dynamic_trigger_delta__学业失败,dynamic_trigger_accum__未来焦虑,dynamic_trigger_delta__未来焦虑,dynamic_trigger_accum__社交压力,dynamic_trigger_delta__社交压力,dynamic_trigger_accum__自我价值,dynamic_trigger_delta__自我价值,dynamic_trigger_accum__自杀意念,dynamic_trigger_delta__自杀意念,dynamic_trigger_accum_total,dynamic_trigger_accum_support_total,dynamic_trigger_accum_negative_total,dynamic_trigger_support_minus_negative,dynamic_trigger_support_delta_sum,dynamic_trigger_negative_delta_sum,dynamic_wellbeing_index,dynamic_risk_index,dynamic_improvement_score_vs_start,dynamic_improvement_change_vs_prev,dynamic_improvement_status,dynamic_score_component_severity,dynamic_score_component_stress,dynamic_score_component_balance,dynamic_score_component_momentum
simulate-20260404-0930.json,20260404-09:30,1,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,0,0,0.7,0.7,0.30000000000000004,0.5,1,stress,0,0,2026-04-04T16:09:13.901264,False,,0,0,0,0,0,0,-1,session1,False,False,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,0.0,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1030.json,20260404-10:30,2,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,1,0,0.75,1.0,0.0,0.5,5,自我价值|未来焦虑|自杀意念|stress|support,4,2,2026-04-04T10:30:00,False,,0,0,0,0,0,0,1,sessionloop,False,True,0,0,1,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1130.json,20260404-11:30,3,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,1,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,2,2026-04-04T10:30:00,False,,0,0,0,0,0,0,1,sessionloop,False,True,0,0,1,1,2,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1230.json,20260404-12:30,4,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,2,0,0.75,1.0,0.0,0.3,3,未来焦虑|stress|support,3,2,2026-04-04T12:30:00,False,,1,1,0,0,0,0,2,session2.1,False,True,0,0,2,2,4,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1330.json,20260404-13:30,5,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,2,0,0.7,0.7,0.30000000000000004,0.3,1,stress,3,2,2026-04-04T12:30:00,False,,1,0,1,0,0,0,2,session2.1,False,True,0,0,2,2,4,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1430.json,20260404-14:30,6,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,3,0,0.75,1.0,0.0,0.3,3,未来焦虑|stress|support,3,1,2026-04-04T14:30:00,False,,2,1,1,0,0,0,3,session2.2,False,True,0,0,3,3,5,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1530.json,20260404-15:30,7,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,3,0,0.7,0.7,0.30000000000000004,0.3,1,stress,3,1,2026-04-04T14:30:00,False,,2,0,2,0,0,0,3,session2.2,False,True,0,0,3,3,5,3,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1630.json,20260404-16:30,8,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,4,0,0.75,1.0,0.0,0.3,6,自我价值|社交压力|未来焦虑|自杀意念|stress|support,4,5,2026-04-04T16:30:00,False,,2,0,2,0,0,2,4,session2.3,False,True,0,0,4,4,6,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.75,66.25,-1.5,-1.5,基本持平,25.0,25.0,50.0,50.0
simulate-20260404-1730.json,20260404-17:30,9,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,4,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,5,2026-04-04T16:30:00,False,,2,0,2,0,0,2,4,session2.3,False,True,0,0,4,4,6,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.25,64.75,0.0,1.5,基本持平,25.0,30.0,50.0,50.0
simulate-20260404-1830.json,20260404-18:30,10,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,5,0,0.75,1.0,0.0,0.3,4,学业失败|未来焦虑|stress|support,4,3,2026-04-04T18:30:00,False,,3,1,2,0,0,3,5,session3.1,False,True,0,0,5,5,7,5,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,-2.0,1.0,3.0,25.0,75.0,-10.25,-10.25,轻度恶化,25.0,25.0,25.0,25.0
simulate-20260404-1930.json,20260404-19:30,11,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,5,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,3,2026-04-04T18:30:00,False,,3,0,3,0,0,3,5,session3.1,False,True,0,0,5,5,7,5,2,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,-2.0,0.0,0.0,29.0,71.0,-6.25,4.0,轻度恶化,25.0,30.0,25.0,50.0
simulate-20260404-2030.json,20260404-20:30,12,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,6,0,0.75,1.0,0.0,0.3,4,自我价值|未来焦虑|stress|support,4,3,2026-04-04T20:30:00,False,,4,1,3,0,0,3,6,session3.2,False,True,0,0,6,6,8,6,2,2,2.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,8.0,2.0,6.0,-4.0,1.0,3.0,25.0,75.0,-10.25,-4.0,轻度恶化,25.0,25.0,25.0,25.0
simulate-20260404-2130.json,20260404-21:30,13,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,6,0,0.7,0.7,0.30000000000000004,0.3,1,stress,4,3,2026-04-04T20:30:00,False,,4,1,3,0,0,3,6,session3.2,False,True,0,0,6,6,8,6,2,2,2.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,6.0,-4.0,0.0,0.0,29.0,71.0,-6.25,4.0,轻度恶化,25.0,30.0,25.0,50.0
simulate-20260404-2230.json,20260404-22:30,14,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.75,1.0,0.0,0.5,5,学业失败|自我价值|未来焦虑|stress|support,4,5,2026-04-04T22:30:00,False,,7,4,3,0,0,4,7,session3.3,False,True,0,0,7,7,9,7,2,2,3.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,13.0,3.0,10.0,-7.0,1.0,4.0,24.019,75.981,-11.231,-4.981,轻度恶化,25.0,25.0,23.077,20.0
simulate-20260404-2330.json,20260404-23:30,15,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.75,1.0,0.0,0.5,5,学业失败|自我价值|未来焦虑|stress|support,4,5,2026-04-04T22:30:00,False,,7,3,4,0,0,4,7,session3.3,False,True,0,0,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,27.019,72.981,-8.231,3.0,轻度恶化,25.0,25.0,23.077,50.0
simulate-20260405-0030.json,20260405-00:30,16,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,1,0,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,1.5,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0130.json,20260405-01:30,17,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,1,0,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0230.json,20260405-02:30,18,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,2,1,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0330.json,20260405-03:30,19,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,2,1,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0430.json,20260405-04:30,20,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,3,2,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0530.json,20260405-05:30,21,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,3,2,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
simulate-20260405-0630.json,20260405-06:30,22,卡布达,蜻蜓队长,蜻蜓队长::卡布达,True,severe_episode,3,7,0,0.7,0.7,0.30000000000000004,0.5,1,stress,4,5,2026-04-04T22:30:00,True,m_fast_every_2step_20260405-003000_8,7,0,7,0,0,4,7,session3.3,False,True,4,3,7,7,9,7,2,2,3.0,0.0,3.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,13.0,3.0,10.0,-7.0,0.0,0.0,28.519,71.481,-6.731,0.0,轻度恶化,25.0,30.0,23.077,50.0
